CLIENT TYPE,CLIENT NUMBER,ACCOUNT NUMBER,SUBACCOUNT NUMBER,EXCHANGE CODE,PRODUCT GROUP CODE,SYMBOL,EXPIRATION DATE,TOTAL_TRANSACTION_AMOUNT
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,2,1,SGX ,FU,NK    ,20100910,1
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,4321,3,1,CME ,FU,N1    ,20100910,-3
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,1
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,2
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,3
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,3
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,3
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,4
CL  ,1234,2,1,SGX ,FU,NK    ,20100910,5
